Item No,Order ID,Part Number,Part Description,Supplier Name,Plant,Order Amount,Date
16,20200611A001,2521952,100,AUN,Metal,100,11/06/2020
16,20200612A001,2521952,100,AUN,Metal,100,12/06/2020
16,20200617A001,2521952,100,AUN,Metal,100,17/06/2020
16,20200618A001,2521952,100,AUN,Metal,100,18/06/2020
17,20200604A001,3058246,100,AUN,Metal,100,04/06/2020
17,20200609A001,3058246,100,AUN,Metal,100,09/06/2020
17,20200610A001,3058246,100,AUN,Metal,100,10/06/2020
17,20200611A001,3058246,100,AUN,Metal,100,11/06/2020
17,20200612A001,3058246,100,AUN,Metal,100,12/06/2020
17,20200617A001,3058246,100,AUN,Metal,100,17/06/2020
17,20200618A001,3058246,100,AUN,Metal,100,18/06/2020
18,20200602A001,3061037,100,AUN,Metal,100,02/06/2020
18,20200604A001,3061037,100,AUN,Metal,100,04/06/2020
18,20200608A001,3061037,100,AUN,Metal,100,08/06/2020
18,20200609A001,3061037,100,AUN,Metal,100,09/06/2020
18,20200610A001,3061037,100,AUN,Metal,100,10/06/2020
18,20200611A001,3061037,100,AUN,Metal,100,11/06/2020
18,20200612A001,3061037,100,AUN,Metal,100,12/06/2020
18,20200615A001,3061037,100,AUN,Metal,100,15/06/2020
18,20200616A001,3061037,100,AUN,Metal,100,16/06/2020
19,20200602A001,2626450,100,AUN,Metal,100,02/06/2020
19,20200604A001,2626450,100,AUN,Metal,100,04/06/2020
19,20200608A001,2626450,100,AUN,Metal,100,08/06/2020
19,20200609A001,2626450,100,AUN,Metal,100,09/06/2020
19,20200610A001,2626450,100,AUN,Metal,100,10/06/2020
19,20200611A001,2626450,100,AUN,Metal,100,11/06/2020
19,20200612A001,2626450,100,AUN,Metal,100,12/06/2020
19,20200615A001,2626450,100,AUN,Metal,100,15/06/2020
19,20200616A001,2626450,100,AUN,Metal,100,16/06/2020
22,20200604A001,2522356,150,AUN,Metal,150,04/06/2020
22,20200605A001,2522356,150,AUN,Metal,150,05/06/2020
22,20200608A001,2522356,600,AUN,Metal,600,08/06/2020
22,20200609A001,2522356,450,AUN,Metal,450,09/06/2020
22,20200610A001,2522356,300,AUN,Metal,300,10/06/2020
22,20200611A001,2522356,300,AUN,Metal,300,11/06/2020
22,20200612A001,2522356,300,AUN,Metal,300,12/06/2020
22,20200615A001,2522356,300,AUN,Metal,300,15/06/2020
22,20200616A001,2522356,300,AUN,Metal,300,16/06/2020
22,20200617A001,2522356,150,AUN,Metal,150,17/06/2020
22,20200618A001,2522356,300,AUN,Metal,300,18/06/2020
22,20200619A001,2522356,300,AUN,Metal,300,19/06/2020
23,20200604A001,2522359,150,AUN,Metal,150,04/06/2020
23,20200605A001,2522359,150,AUN,Metal,150,05/06/2020
23,20200608A001,2522359,600,AUN,Metal,600,08/06/2020
23,20200609A001,2522359,450,AUN,Metal,450,09/06/2020
23,20200610A001,2522359,300,AUN,Metal,300,10/06/2020
23,20200611A001,2522359,300,AUN,Metal,300,11/06/2020
23,20200612A001,2522359,300,AUN,Metal,300,12/06/2020
23,20200615A001,2522359,300,AUN,Metal,300,15/06/2020
23,20200616A001,2522359,300,AUN,Metal,300,16/06/2020
23,20200617A001,2522359,150,AUN,Metal,150,17/06/2020
23,20200618A001,2522359,300,AUN,Metal,300,18/06/2020
23,20200619A001,2522359,300,AUN,Metal,300,19/06/2020
24,20200604A001,2522360,150,AUN,Metal,150,04/06/2020
24,20200605A001,2522360,150,AUN,Metal,150,05/06/2020
24,20200608A001,2522360,600,AUN,Metal,600,08/06/2020
24,20200609A001,2522360,450,AUN,Metal,450,09/06/2020
24,20200610A001,2522360,300,AUN,Metal,300,10/06/2020
24,20200611A001,2522360,300,AUN,Metal,300,11/06/2020
24,20200612A001,2522360,300,AUN,Metal,300,12/06/2020
24,20200615A001,2522360,300,AUN,Metal,300,15/06/2020
24,20200616A001,2522360,300,AUN,Metal,300,16/06/2020
24,20200617A001,2522360,150,AUN,Metal,150,17/06/2020
24,20200618A001,2522360,300,AUN,Metal,300,18/06/2020
24,20200619A001,2522360,300,AUN,Metal,300,19/06/2020
25,20200604A001,2522363,150,AUN,Metal,150,04/06/2020
25,20200605A001,2522363,150,AUN,Metal,150,05/06/2020
25,20200608A001,2522363,600,AUN,Metal,600,08/06/2020
25,20200609A001,2522363,450,AUN,Metal,450,09/06/2020
25,20200610A001,2522363,300,AUN,Metal,300,10/06/2020
25,20200611A001,2522363,300,AUN,Metal,300,11/06/2020
25,20200612A001,2522363,300,AUN,Metal,300,12/06/2020
25,20200615A001,2522363,300,AUN,Metal,300,15/06/2020
25,20200616A001,2522363,300,AUN,Metal,300,16/06/2020
25,20200617A001,2522363,150,AUN,Metal,150,17/06/2020
25,20200618A001,2522363,300,AUN,Metal,300,18/06/2020
25,20200619A001,2522363,300,AUN,Metal,300,19/06/2020
26,20200604A001,2545195,150,AUN,Metal,150,04/06/2020
26,20200605A001,2545195,150,AUN,Metal,150,05/06/2020
26,20200608A001,2545195,600,AUN,Metal,600,08/06/2020
26,20200609A001,2545195,450,AUN,Metal,450,09/06/2020
26,20200610A001,2545195,300,AUN,Metal,300,10/06/2020
26,20200611A001,2545195,300,AUN,Metal,300,11/06/2020
26,20200612A001,2545195,300,AUN,Metal,300,12/06/2020
26,20200615A001,2545195,300,AUN,Metal,300,15/06/2020
26,20200616A001,2545195,300,AUN,Metal,300,16/06/2020
26,20200617A001,2545195,150,AUN,Metal,150,17/06/2020
26,20200618A001,2545195,300,AUN,Metal,300,18/06/2020
26,20200619A001,2545195,300,AUN,Metal,300,19/06/2020
